Date,Symbol,Quantity,Value
170,XLP,1,35.81
170,XLF,55,727.303335
170,XLU,4,146.16
171,XLF,1,13.097834
174,XLP,1,36.38
176,XLU,-1,-36.37
177,XLF,1,12.663405
178,XLP,-1,-35.825
178,XLF,1,12.582203
180,XLF,1,12.659345
188,XLF,-1,-12.943551
189,XLF,-1,-13.016633
190,XLP,1,35.85
190,XLB,1,36.37
191,XLF,-2,-25.968304
196,XLF,-2,-26.163188
197,XLP,1,35.25
197,XLF,1,12.862349
198,XLF,-2,-25.724698
200,XLB,1,36.11
201,XLF,-1,-12.910502
205,XLF,-1,-13.114075
206,XLF,3,38.051118
207,XLP,1,34.6
207,XLF,-2,-25.137124
207,XLU,-1,-34.882
208,XLF,-1,-12.586264
209,XLB,-1,-35.56
210,XLF,1,12.521302
211,XLP,1,34.22
212,XLU,-1,-34.07
214,XLF,-1,-12.642049
216,XLP,1,35.15
217,XLF,-1,-12.862349
218,XLF,1,12.813628
220,XLF,-1,-12.748667
225,XLF,-1,-12.870469
225,XLU,-1,-35.45
228,XLF,1,12.984152
228,XLB,1,36.28
229,XLF,-1,-13.049113
229,XLU,1,35.55
231,XLF,1,13.040993
233,XLF,-1,-13.260238
235,XLF,1,13.37392
235,XLU,-1,-35.73
236,XLF,-1,-13.560684
237,XLP,1,35.17
237,XLF,1,13.317079
238,XLP,-1,-35.06
238,XLF,-1,-13.292718
239,XLP,1,34.76
242,XLF,-1,-13.308959
243,XLF,-1,-13.694667
243,XLB,-1,-38.45
244,XLF,2,27.364972
248,XLF,1,13.751508
249,XLF,-1,-13.926092
250,XLF,1,13.893611
264,XLF,-1,-14.299619
265,XLF,1,14.120976
266,XLF,-1,-14.275259
267,XLF,1,14.299619
271,XLF,-1,-14.466083
272,XLF,1,14.437662
273,XLF,-1,-14.484759
274,XLF,1,14.421422
275,XLF,-1,-14.559465
276,XLF,1,14.34022
276,XLB,1,38.09
278,XLP,-1,-38.26
278,XLF,-1,-14.405182
279,XLF,2,28.030664
280,XLF,-2,-28.17699
282,XLF,1,14.283379
283,XLF,-1,-14.32398
293,XLP,1,38.485
295,XLP,-1,-38.69
297,XLF,1,14.673147
298,XLF,-1,-14.758409
299,XLF,1,14.721868
300,XLF,-1,-14.81525
301,XLF,1,14.746229
305,XLF,1,14.555405
306,XLF,-1,-14.685327
307,XLF,1,14.640667
308,XLF,-1,-14.78683
312,XLF,1,14.997954
313,XLF,1,14.681267
314,XLP,-1,-40.81
314,XLF,-2,-29.817264
315,XLP,1,40.46
315,XLF,2,29.256972
317,XLP,-1,-41.01
317,XLF,-1,-14.681267
318,XLF,1,14.697508
319,XLF,-1,-14.961413
320,XLP,1,40.77
320,XLF,1,15.054795
321,XLF,-1,-15.144117
322,XLF,1,15.075096
325,XLF,1,15.014194
326,XLF,-1,-15.144117
334,XLF,-1,-15.948014
336,XLF,1,15.988615
337,XLF,-1,-16.199739
340,XLF,1,16.102297
343,XLF,-1,-16.184311
344,XLF,1,16.183499
345,XLF,-1,-16.378383
346,XLF,1,16.110498
347,XLF,-1,-16.126658
348,XLF,1,15.980495
349,XLF,1,15.720649
350,XLF,-2,-31.879788
352,XLF,1,16.2241
353,XLF,1,15.956134
355,XLF,-2,-32.163994
356,XLF,2,31.749864
357,XLF,-1,-16.029216
359,XLF,1,15.915533
360,XLF,1,15.570426
361,XLF,-1,-15.521705
362,XLF,1,15.245619
363,XLP,-1,-39.33
363,XLF,-1,-15.529825
363,XLB,-1,-38.4
364,XLF,1,15.688168
366,XLF,2,31.579342
368,XLF,1,15.858692
369,XLP,-1,-39.93
370,XLB,-1,-38.72
371,XLF,1,16.211919
372,XLF,1,16.349962
373,XLF,1,16.25658
374,XLF,-1,-16.410864
374,XLU,1,38.52
375,XLF,1,16.524546
376,XLP,-1,-41.49
377,XLF,1,16.532666
379,XLF,-1,-16.824992
380,XLF,1,16.833112
383,XLF,1,16.760031
384,XLF,-1,-16.776271
385,XLF,1,16.760031
388,XLP,-1,-41.39
389,XLF,-1,-16.902134
390,XLF,1,16.898074
391,XLF,1,16.861533
393,XLP,-1,-41.53
394,XLU,1,39.41
396,XLK,1,32.18
397,XLF,-1,-16.597627
398,XLF,1,16.532666
402,XLP,-1,-40.12
402,XLF,-1,-16.199739
403,XLF,1,16.086057
404,XLF,-1,-16.272821
404,XLK,1,31.84
406,XLF,1,16.187559
407,XLF,1,15.793731
408,XLF,-2,-31.644302
411,XLF,-1,-15.916345
412,XLF,-1,-16.041396
413,XLF,-1,-16.077937
413,XLK,1,31.75
415,XLF,-2,-32.529402
418,XLF,-1,-16.358082
419,XLF,-1,-16.398683
420,XLF,-1,-16.581387
420,XLV,1,51.67
421,XLF,-1,-16.662589
421,XLK,1,32.37
422,XLI,1,47.6
424,XLF,-1,-16.585447
426,XLF,-1,-16.24846
427,XLF,-1,-16.337782
429,XLF,-1,-16.276881
431,XLF,-1,-16.276881
434,XLF,-1,-16.280941
437,XLF,-1,-15.943954
438,XLF,-1,-16.398683
441,XLF,1,16.451464
442,XLF,-2,-33.593144
443,XLF,1,16.947607
449,XLF,-1,-16.938675
450,XLF,1,16.898074
451,XLF,-1,-16.946795
452,XLB,1,43.84
452,XLK,1,33.76
454,XLF,-1,-16.742979
454,XLI,1,48.97
457,XLF,-1,-16.73973
459,XLF,-1,-16.938675
460,XLF,1,16.942735
462,XLF,-1,-16.926494
475,XLF,1,17.255361
476,XLF,-1,-17.295962
477,XLF,1,17.133559
478,XLF,-1,-17.369044
479,XLF,1,17.442125
481,XLF,1,17.141679
482,XLF,-1,-17.141679
486,XLF,-1,-17.547687
487,XLF,1,17.523327
491,XLF,1,17.701971
494,XLK,-1,-35.74
495,XLK,1,35.39
498,XLK,-1,-35.48
499,XLI,-1,-51.6
500,XLF,1,17.921215
501,XLV,-1,-56.74
502,XLF,1,17.620769
504,XLF,1,17.978056
504,XLU,1,37.81
505,XLF,1,17.864374
506,XLF,1,17.807533
509,XLF,1,17.539567
509,XLB,1,45.08
510,XLF,1,17.141679
511,XLF,-1,-17.036117
511,XLK,-1,-34.8
512,XLF,-1,-17.263481
512,XLU,-1,-38.21
513,XLF,2,34.120954
513,XLK,1,34.32
513,XLU,1,38.19
514,XLF,-2,-34.608164
514,XLK,-1,-34.74
514,XLU,-1,-38.78
515,XLF,2,34.202156
516,XLF,1,16.670709
517,XLF,-2,-33.666224
518,XLF,1,16.816872
519,XLF,-1,-17.076718
527,XLF,1,17.360923
528,XLF,-1,-17.409644
536,XLF,-1,-17.840013
538,XLF,1,18.083619
543,XLF,1,17.815653
544,XLF,-1,-17.701971
544,XLB,-1,-46.9
548,XLF,-1,-18.254142
549,XLP,1,42.5
549,XLF,1,18.189181
552,XLF,1,17.978056
554,XLP,-1,-42.75
558,XLF,1,18.181061
560,XLF,1,17.726331
560,XLU,-1,-41.39
561,XLF,-1,-17.750692
563,XLF,2,34.981692
565,XLF,-1,-17.417765
568,XLF,1,17.750692
573,XLF,1,17.742571
574,XLI,-1,-52.54
575,XLF,-1,-17.807533
578,XLF,1,17.856254
581,XLF,-1,-17.766932
582,XLF,1,17.815653
584,XLF,-1,-17.986177
585,XLF,1,17.969936
587,XLF,1,17.637009
588,XLF,-1,-17.65731
590,XLF,1,17.645129
591,XLF,-1,-17.758812
606,XLF,1,18.351584
607,XLF,-1,-18.359704
608,XLF,1,18.270383
609,XLF,-1,-18.457146
614,XLF,1,18.457146
615,XLF,-1,-18.473387
616,XLF,1,18.408425
617,XLF,-1,-18.481507
618,XLF,1,18.465267
619,XLF,-1,-18.578949
620,XLF,1,18.562709
620,XLU,1,42.97
630,XLF,1,18.392185
631,XLF,-1,-18.603309
631,XLU,-1,-42.74
632,XLU,1,42.7
635,XLU,-1,-42.78
636,XLF,1,18.587069
636,XLU,1,42.44
637,XLF,-1,-18.595189
637,XLU,-1,-43.03
638,XLF,1,18.497747
638,XLU,1,42.63
639,XLF,-1,-18.578949
640,XLF,1,18.197301
642,XLF,-1,-18.189181
642,XLU,-1,-41.185
643,XLF,1,18.002417
643,XLU,1,40.69
644,XLU,-1,-40.17
646,XLF,-1,-18.17294
647,XLF,1,18.189181
648,XLF,-1,-18.229782
648,XLB,1,49.305
649,XLB,-1,-49.58
650,XLB,1,49.58
651,XLF,1,18.335344
652,XLF,-1,-18.538348
652,XLB,-1,-50.22
654,XLB,1,50.44
656,XLF,1,18.773833
657,XLF,-1,-18.936236
660,XLF,1,18.879395
661,XLF,-1,-18.968717
665,XLB,-1,-50.66
667,XLF,1,18.863155
668,XLF,-1,-18.960597
671,XLU,1,42.39
679,XLF,1,18.733232
680,XLF,-2,-37.823752
681,XLF,1,18.846915
685,XLF,-1,-18.903756
686,XLF,1,18.846915
687,XLU,1,42.48
688,XLF,-1,-18.879395
688,XLU,-1,-43.44
689,XLF,2,36.963014
689,XLU,1,42.73
690,XLF,-1,-18.335344
692,XLF,-1,-18.246022
693,XLF,1,17.896855
695,XLF,-1,-18.124219
698,XLF,1,18.400305
699,XLF,-1,-18.578949
701,XLF,1,18.781953
702,XLF,-1,-18.984957
705,XLF,-1,-19.358485
706,XLF,1,19.431567
707,XLB,1,47.56
708,XLF,-1,-19.56961
709,XLK,-1,-40.79
732,XLF,1,19.943138
733,XLF,-1,-19.991859
734,XLF,1,19.60209
737,XLF,-2,-39.34872
739,XLF,1,20.04058
742,XLF,1,20.259824
745,XLF,1,20.308545
747,XLU,-1,-47.44
748,XLF,1,19.658932
750,XLF,-1,-19.56149
752,XLF,1,19.58585
757,XLF,-1,-19.074279
758,XLF,1,18.993078
759,XLF,-1,-19.041799
760,XLF,-1,-19.512769
761,XLF,2,38.603288
762,XLF,-1,-19.399086
763,XLF,1,19.187962
765,XLF,-1,-18.993078
766,XLF,1,18.684511
767,XLF,-2,-37.969914
768,XLU,1,48.71
769,XLF,1,19.252923
770,XLF,-1,-19.447807
775,XLF,-1,-19.853816
776,XLF,1,19.837575
780,XLF,-1,-19.845695
781,XLF,1,19.796974
782,XLF,-1,-19.894417
784,XLB,1,51.61
786,XLF,-1,-19.918777
787,XLF,1,19.861936
789,XLF,-1,-19.821335
790,XLF,1,19.675172
791,XLF,-1,-19.764494
792,XLF,1,19.342245
793,XLF,-1,-19.464047
794,XLF,-1,-19.886296
794,XLU,-1,-43.93
795,XLF,1,19.748253
795,XLU,1,43.48
796,XLF,-1,-19.991859
796,XLU,-1,-44.23
797,XLF,1,19.943138
797,XLU,1,44.16
798,XLF,-1,-20.05682
798,XLU,-1,-45.35
799,XLF,1,19.870056
800,XLF,-1,-20.06494
801,XLF,1,19.951258
803,XLF,1,19.472168
804,XLF,-1,-19.455927
806,XLF,-1,-19.715773
807,XLF,2,39.15546
808,XLF,-1,-19.56149
819,XLF,1,19.59397
820,XLF,-1,-19.675172
829,XLF,-1,-19.764494
831,XLF,1,19.780734
833,XLF,-1,-19.821335
835,XLF,1,20.032459
838,XLF,-1,-20.146142
839,XLF,1,20.05682
840,XLF,-1,-20.170502
841,XLB,1,51.03
842,XLF,1,20.227343
843,XLB,-1,-51.18
844,XLB,1,51.12
846,XLF,-1,-20.178622
846,XLB,-1,-50.81
847,XLF,1,20.154262
847,XLB,1,50.94
850,XLF,-1,-20.024339
852,XLF,1,20.016219
853,XLF,-1,-20.129901
854,XLF,1,20.008099
855,XLF,-1,-20.05682
856,XLF,-1,-20.341026
857,XLF,1,20.422228
863,XLF,1,20.089301
864,XLF,-2,-40.795734
